기간,광역상권,하위상권,행정구역,임대료,공실률,수익률 정보,수익률 정보,수익률 정보
기간,광역상권,하위상권,구,임대료,공실률,투자수익률,소득수익률,자본수익률
2021.1.4,서울,서울,서울,52.3,8.9,1.81,0.73,1.07
2021.1.4,도심(시내),소계,소계,88.2,14.6,1.39,0.71,0.68
2021.1.4,도심(시내),광화문,종로구,78.4,23,1.53,0.77,0.76
2021.1.4,도심(시내),남대문,중구,77.4,10.5,1.64,0.81,0.83
2021.1.4,도심(시내),동대문,종로구,45.1,11.5,1.54,0.69,0.85
2021.1.4,도심(시내),명동,중구,225,38.4,0.2,0.45,-0.25
2021.1.4,도심(시내),시청,중구,60.4,8.4,1.81,0.83,0.97
2021.1.4,도심(시내),을지로,중구,42.7,5.4,1.56,0.71,0.86
2021.1.4,도심(시내),종로,종로구,76.5,8.4,1.64,0.78,0.86
2021.1.4,도심(시내),충무로,중구,48.9,5.7,1.3,0.71,0.59
2021.1.4,강남,소계,소계,57.9,10.7,1.83,0.69,1.14
2021.1.4,강남,강남대로,강남구,103.5,8.6,1.79,0.86,0.93
2021.1.4,강남,교대역,서초구,29.1,8.3,1.66,0.72,0.94
2021.1.4,강남,남부터미널,서초구,27,3.4,2.08,0.78,1.3
2021.1.4,강남,논현역,강남구,48.2,19.9,1.7,0.57,1.13
2021.1.4,강남,도산대로,강남구,45.1,14.2,1.85,0.57,1.29
2021.1.4,강남,서래마을,서초구,44.2,9.1,1.54,0.75,0.79
2021.1.4,강남,신사역,강남구,82.7,11.5,1.56,0.6,0.97
2021.1.4,강남,압구정동,강남구,47.3,10.3,1.88,0.61,1.27
2021.1.4,강남,양재말죽거리,서초구,38.1,6.9,2.04,0.69,1.35
2021.1.4,강남,양재역,강남구,41.7,8.3,2.08,0.72,1.36
2021.1.4,강남,청담,강남구,57.5,16.3,1.99,0.57,1.42
2021.1.4,강남,테헤란로,강남구,50.2,15.7,2.1,0.69,1.41
2021.1.4,영등포신촌지역,소계,소계,47.6,10.5,1.81,0.72,1.09
2021.1.4,영등포신촌지역,공덕역,마포구,36.1,5.5,2,0.81,1.19
2021.1.4,영등포신촌지역,당산역,영등포구,30.3,12.9,1.84,0.71,1.13
2021.1.4,영등포신촌지역,동교연남,마포구,41.5,4.3,1.78,0.69,1.09
2021.1.4,영등포신촌지역,망원역,마포구,32.7,3,1.6,0.72,0.88
2021.1.4,영등포신촌지역,신촌이대,서대문구,58,13.3,1.84,0.73,1.11
2021.1.4,영등포신촌지역,영등포,영등포구,40.6,13.3,1.82,0.74,1.08
2021.1.4,영등포신촌지역,홍대합정,마포구,70.9,13.1,1.79,0.66,1.13
2021.1.4,기타,소계,소계,45.6,6.6,1.88,0.75,1.12
2021.1.4,기타,가락시장,송파구,38.6,11.3,1.87,0.6,1.28
2021.1.4,기타,건대입구,광진구,69.3,4.7,1.82,0.66,1.16
2021.1.4,기타,경희대학교,동대문구,44.7,3.1,1.95,0.73,1.22
2021.1.4,기타,구로디지털단지역,구로구,45.1,2.5,1.83,0.8,1.03
2021.1.4,기타,군자,광진구,34.7,4.8,1.91,0.72,1.18
2021.1.4,기타,노량진,동작구,49.1,6.2,1.42,0.88,0.54
2021.1.4,기타,독산시흥,금천구,28.9,8.9,2.15,0.71,1.44
2021.1.4,기타,뚝섬,광진구,36.3,1.3,2.19,0.59,1.61
2021.1.4,기타,목동,양천구,33,4.9,1.86,0.85,1.01
2021.1.4,기타,미아사거리,강북구,41.1,5.5,2.13,0.85,1.28
2021.1.4,기타,불광역,은평구,36.1,11.1,1.29,0.88,0.41
2021.1.4,기타,사당,동작구,56.9,5.3,1.41,0.79,0.62
2021.1.4,기타,상계역,노원구,26.8,0.9,2.31,0.84,1.47
2021.1.4,기타,서울대입구역,관악구,77,5.5,2.26,1,1.26
2021.1.4,기타,성신여자대학교,성북구,46.7,13.1,1.45,0.9,0.55
2021.1.4,기타,수유,강북구,49.6,3.7,2.06,0.91,1.15
2021.1.4,기타,숙명여자대학교,용산구,39.6,2.6,1.76,0.47,1.29
2021.1.4,기타,신림역,관악구,66,3.7,2.03,0.91,1.12
2021.1.4,기타,연신내,은평구,44.5,3.2,1.41,0.87,0.54
2021.1.4,기타,오류동역,구로구,49.5,4.6,2.13,0.98,1.16
2021.1.4,기타,왕십리,성동구,41.7,3.3,1.97,0.76,1.21
2021.1.4,기타,용산역,용산구,25,13.3,1.35,0.53,0.82
2021.1.4,기타,이태원,용산구,58.6,22.6,1.81,0.49,1.32
2021.1.4,기타,잠실송파,송파구,43.6,12.3,1.81,0.53,1.28
2021.1.4,기타,잠실새내역,송파구,37.2,11,2.04,0.66,1.38
2021.1.4,기타,장안동,동대문구,32.1,10.2,1.82,0.65,1.17
2021.1.4,기타,천호,강동구,44,4.6,1.91,0.81,1.1
2021.1.4,기타,청량리,동대문구,46.2,6.1,1.81,0.73,1.08
2021.1.4,기타,혜화동,종로구,63.6,10.8,1.44,0.62,0.82
2021.1.4,기타,화곡,강서구,34.5,9.7,2.27,0.88,1.38